cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate
CVE-2022-20821,Cisco,IOS XR,Cisco IOS XR Open Port Vulnerability,2022-05-23,Cisco IOS XR software health check opens TCP port 6379 by default on activation. An attacker can connect to the Redis instance on the open port and allow access to the Redis instance that is running within the NOSi container.,Apply updates per vendor instructions.,2022-06-13
CVE-2021-1048,Android,Kernel,Android Kernel Use-After-Free Vulnerability,2022-05-23,Android kernel contains a use-after-free vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,2022-06-13
CVE-2021-0920,Android,Kernel,Android Kernel Race Condition Vulnerability,2022-05-23,"Android kernel contains a race condition, which allows for a use-after-free vulnerability. Exploitation can allow for privilege escalation.",Apply updates per vendor instructions.,2022-06-13
CVE-2021-30883,Apple,Multiple Products,Apple Multiple Products Memory Corruption Vulnerability,2022-05-23,"Apple iOS, macOS, watchOS, and tvOS contain a memory corruption vulnerability that could allow for remote code execution.",Apply updates per vendor instructions.,2022-06-13
CVE-2020-1027,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability,2022-05-23,An elevation of privilege vulnerability exists in the way that the Windows Kernel handles objects in memory. An attacker who successfully exploited the vulnerability could execute code with elevated permissions.,Apply updates per vendor instructions.,2022-06-13
CVE-2020-0638,Microsoft,Update Notification Manager,Microsoft Update Notification Manager Privilege Escalation Vulnerability,2022-05-23,Microsoft Update Notification Manager contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,2022-06-13
CVE-2019-7286,Apple,Multiple Products,Apple Multiple Products Memory Corruption Vulnerability,2022-05-23,"Apple iOS, macOS, watchOS, and tvOS contain a memory corruption vulnerability that could allow for privilege escalation.",Apply updates per vendor instructions.,2022-06-13
CVE-2019-7287,Apple,iOS,Apple iOS Memory Corruption Vulnerability,2022-05-23,Apple iOS contains a memory corruption vulnerability which could allow an attacker to perform remote code execution.,Apply updates per vendor instructions.,2022-06-13
CVE-2019-0676,Microsoft,Internet Explorer,Microsoft Internet Explorer Information Disclosure Vulnerability,2022-05-23,An information disclosure vulnerability exists when Internet Explorer improperly handles objects in memory. An attacker who successfully exploited this vulnerability could test for the presence of files on disk.,Apply updates per vendor instructions.,2022-06-13
CVE-2019-5786,Google,Chrome,Google Chrome Use-After-Free Vulnerability,2022-05-23,Google Chrome contains a heap use-after-free vulnerability which allows an attacker to potentially perform out of bounds memory access.,Apply updates per vendor instructions.,2022-06-13
CVE-2019-0703,Microsoft,Windows,Microsoft Windows SMB Information Disclosure Vulnerability,2022-05-23,"An information disclosure vulnerability exists in the way that the Windows SMB Server handles certain requests, which could lead to information disclosure from the server.",Apply updates per vendor instructions.,2022-06-13
CVE-2019-0880,Microsoft,Windows,Microsoft Windows Privilege Escalation Vulnerability,2022-05-23,A local elevation of privilege vulnerability exists in how splwow64.exe handles certain calls. An attacker who successfully exploited the vulnerability could elevate privileges on an affected system from low-integrity to medium-integrity.,Apply updates per vendor instructions.,2022-06-13
CVE-2019-13720,Google,Chrome,Google Chrome Use-After-Free Vulnerability,2022-05-23,Use-after-free in WebAudio in Google Chrome allows a remote attacker to potentially exploit heap corruption.,Apply updates per vendor instructions.,2022-06-13
CVE-2019-11707,Mozilla,Firefox and Thunderbird,Mozilla Firefox and Thunderbird Type Confusion Vulnerability,2022-05-23,"Mozilla Firefox and Thunderbird contain a type confusion vulnerability that can occur when manipulating JavaScript objects due to issues in Array.pop, allowing for an exploitable crash.",Apply updates per vendor instructions.,2022-06-13
CVE-2019-11708,Mozilla,Firefox and Thunderbird,Mozilla Firefox and Thunderbird Sandbox Escape Vulnerability,2022-05-23,Mozilla Firefox and Thunderbird contain a sandbox escape vulnerability that could result in remote code execution.,Apply updates per vendor instructions.,2022-06-13
CVE-2019-8720,WebKitGTK,WebKitGTK,WebKitGTK Memory Corruption Vulnerability,2022-05-23,WebKitGTK contains a memory corruption vulnerability which can allow an attacker to perform remote code execution.,Apply updates per vendor instructions.,2022-06-13
CVE-2019-18426,Meta Platforms,WhatsApp,WhatsApp Cross-Site Scripting Vulnerability,2022-05-23,A vulnerability in WhatsApp Desktop when paired with WhatsApp for iPhone allows cross-site scripting and local file reading.,Apply updates per vendor instructions.,2022-06-13
CVE-2019-1385,Microsoft,Windows,Microsoft Windows AppX Deployment Extensions Privilege Escalation Vulnerability,2022-05-23,"A privilege escalation vulnerability exists when the Windows AppX Deployment Extensions improperly performs privilege management, resulting in access to system files.",Apply updates per vendor instructions.,2022-06-13
CVE-2019-1130,Microsoft,Windows,Microsoft Windows AppX Deployment Service Privilege Escalation Vulnerability,2022-05-23,A privilege escalation vulnerability exists when Windows AppX Deployment Service (AppXSVC) improperly handles hard links.,Apply updates per vendor instructions.,2022-06-13
CVE-2018-5002,Adobe,Flash Player,Adobe Flash Player Stack-based Buffer Overflow Vulnerability,2022-05-23,Adobe Flash Player have a stack-based buffer overflow vulnerability that could lead to remote code execution.,The impacted product is end-of-life and should be disconnected if still in use.,2022-06-13
CVE-2018-8589,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,2022-05-23,A privilege escalation vulnerability exists when Windows improperly handles calls to Win32k.sys. An attacker who successfully exploited this vulnerability could run remote code in the security context of the local system.,Apply updates per vendor instructions.,2022-06-13
