cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,notes
CVE-2021-1789,Apple,Multiple Products,Apple Multiple Products Type Confusion Vulnerability,2022-05-04,"A type confusion issue affecting multiple Apple products allows processing of maliciously crafted web content, leading to arbitrary code execution.",Apply updates per vendor instructions.,2022-05-25,
CVE-2019-8506,Apple,Multiple Products,Apple Multiple Products Type Confusion Vulnerability,2022-05-04,"A type confusion issue affecting multiple Apple products allows processing of maliciously crafted web content, leading to arbitrary code execution.",Apply updates per vendor instructions.,2022-05-25,
CVE-2014-4113,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,2022-05-04,Microsoft Win32k contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,2022-05-25,
CVE-2014-0322,Microsoft,Internet Explorer,Microsoft Internet Explorer Use-After-Free Vulnerability,2022-05-04,Use-after-free vulnerability in Microsoft Internet Explorer allows remote attackers to execute code.,Apply updates per vendor instructions.,2022-05-25,
CVE-2014-0160,OpenSSL,OpenSSL,OpenSSL Information Disclosure Vulnerability,2022-05-04,"The TLS and DTLS implementations in OpenSSL do not properly handle Heartbeat Extension packets, which allows remote attackers to obtain sensitive information.",Apply updates per vendor instructions.,2022-05-25,
CVE-2019-3010,Oracle,Solaris,Oracle Solaris Privilege Escalation Vulnerability,2022-05-25,Oracle Solaris component: XScreenSaver contains an unspecified vulnerability which allows for privilege escalation.,Apply updates per vendor instructions.,2022-06-15,
CVE-2016-3393,Microsoft,Windows,Microsoft Windows Graphics Device Interface (GDI) Remote Code Execution Vulnerability,2022-05-25,A remote code execution vulnerability exists due to the way the Windows GDI component handles objects in the memory. An attacker who successfully exploits this vulnerability could take control of the affected system.,Apply updates per vendor instructions.,2022-06-15,
CVE-2016-7256,Microsoft,Windows,Microsoft Windows Open Type Font Remote Code Execution Vulnerability,2022-05-25,A remote code execution vulnerability exists when the Windows font library improperly handles specially crafted embedded fonts. An attacker who successfully exploits this vulnerability could take control of the affected system.,Apply updates per vendor instructions.,2022-06-15,
CVE-2016-1010,Adobe,Flash Player and AIR,Adobe Flash Player and AIR Integer Overflow Vulnerability,2022-05-25,Integer overflow vulnerability in Adobe Flash Player and AIR allows attackers to execute code.,The impacted products are end-of-life and should be disconnected if still in use.,2022-06-15,
CVE-2016-0984,Adobe,Flash Player and AIR,Adobe Flash Player and AIR Use-After-Free Vulnerability,2022-05-25,Use-after-free vulnerability in Adobe Flash Player and Adobe AIR allows attackers to execute code.,The impacted products are end-of-life and should be disconnected if still in use.,2022-06-15,
CVE-2016-0034,Microsoft,Silverlight,Microsoft Silverlight Runtime Remote Code Execution Vulnerability,2022-05-25,"Microsoft Silverlight mishandles negative offsets during decoding, which allows attackers to execute remote code or cause a denial-of-service.",The impacted products are end-of-life and should be disconnected if still in use.,2022-06-15,
CVE-2015-0310,Adobe,Flash Player,Adobe Flash Player ASLR Bypass Vulnerability,2022-05-25,"Adobe Flash Player does not properly restrict discovery of memory addresses, which allows attackers to bypass the address space layout randomization (ASLR) protection mechanism.",The impacted product is end-of-life and should be disconnected if still in use.,2022-06-15,
CVE-2015-0016,Microsoft,Windows,Microsoft Windows TS WebProxy Directory Traversal Vulnerability,2022-05-25,Directory traversal vulnerability in the TS WebProxy (TSWbPrxy) component in Microsoft Windows allows remote attackers to escalate privileges.,Apply updates per vendor instructions.,2022-06-15,
CVE-2015-0071,Microsoft,Internet Explorer,Microsoft Internet Explorer ASLR Bypass Vulnerability,2022-05-25,Microsoft Internet Explorer allows remote attackers to bypass the address space layout randomization (ASLR) protection mechanism via a crafted web site.,Apply updates per vendor instructions.,2022-06-15,
CVE-2015-2360,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,2022-05-25,Win32k.sys in the kernel-mode drivers in Microsoft Windows allows local users to gain privileges or cause denial-of-service.,Apply updates per vendor instructions.,2022-06-15,
CVE-2015-2425,Microsoft,Internet Explorer,Microsoft Internet Explorer Memory Corruption Vulnerability,2022-05-25,Microsoft Internet Explorer contains a memory corruption vulnerability that allows remote attackers to execute code or cause denial-of-service.,Apply updates per vendor instructions.,2022-06-15,
CVE-2015-1769,Microsoft,Windows,Microsoft Windows Mount Manager Privilege Escalation Vulnerability,2022-05-25,A privilege escalation vulnerability exists when the Windows Mount Manager component improperly processes symbolic links.,Apply updates per vendor instructions.,2022-06-15,
CVE-2015-4495,Mozilla,Firefox,Mozilla Firefox Security Feature Bypass Vulnerability,2022-05-25,Moxilla Firefox allows remote attackers to bypass the Same Origin Policy to read arbitrary files or gain privileges.,Apply updates per vendor instructions.,2022-06-15,
CVE-2015-8651,Adobe,Flash Player,Adobe Flash Player Integer Overflow Vulnerability,2022-05-25,Integer overflow in Adobe Flash Player allows attackers to execute code.,The impacted product is end-of-life and should be disconnected if still in use.,2022-06-15,
CVE-2015-6175,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability,2022-05-25,The kernel in Microsoft Windows contains a vulnerability that allows local users to gain privileges via a crafted application.,Apply updates per vendor instructions.,2022-06-15,
CVE-2015-1671,Microsoft,Windows,Microsoft Windows Remote Code Execution Vulnerability,2022-05-25,"A remote code execution vulnerability exists when components of Windows, .NET Framework, Office, Lync, and Silverlight fail to properly handle TrueType fonts.",Apply updates per vendor instructions.,2022-06-15,
CVE-2014-4148,Microsoft,Windows,Microsoft Windows Remote Code Execution Vulnerability,2022-05-25,A remote code execution vulnerability exists when the Windows kernel-mode driver improperly handles TrueType fonts.,Apply updates per vendor instructions.,2022-06-15,
CVE-2014-8439,Adobe,Flash Player,Adobe Flash Player Dereferenced Pointer Vulnerability,2022-05-25,Adobe Flash Player has a vulnerability in the way it handles a dereferenced memory pointer which could lead to code execution.,The impacted product is end-of-life and should be disconnected if still in use.,2022-06-15,
CVE-2014-4123,Microsoft,Internet Explorer,Microsoft Internet Explorer Privilege Escalation Vulnerability,2022-05-25,Microsoft Internet Explorer contains an unspecified vulnerability that allows remote attackers to gain privileges via a crafted web site.,Apply updates per vendor instructions.,2022-06-15,
CVE-2014-0546,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Sandbox Bypass Vulnerability,2022-05-25,"Adobe Acrobat and Reader on Windows allow attackers to bypass a sandbox protection mechanism, and consequently execute native code in a privileged context.",Apply updates per vendor instructions.,2022-06-15,
CVE-2014-2817,Microsoft,Internet Explorer,Microsoft Internet Explorer Privilege Escalation Vulnerability,2022-05-25,Microsoft Internet Explorer cotains an unspecified vulnerability that allows remote attackers to gain privileges via a crafted web site.,Apply updates per vendor instructions.,2022-06-15,
CVE-2014-4077,Microsoft,Input Method Editor (IME) Japanese,Microsoft IME Japanese Privilege Escalation Vulnerability,2022-05-25,Microsoft Input Method Editor (IME) Japanese is a keyboard with Japanese characters that can be enabled on Windows systems as it is included by default (with the default set as disabled). IME Japanese contains an unspecified vulnerability when IMJPDCT.EXE (IME for Japanese) is installed which allows attackers to bypass a sandbox and perform privilege escalation.,Apply updates per vendor instructions.,2022-06-15,
